browser,c_color,code_ver,connection_type,country,first_hit_ref_type,geo_city,geo_country,geo_dma,geo_region,geo_zip,hit_source,javascript,language,last_purchase_num,mobile_id,os,page_event,post_cookies,post_pagename,post_Category_ev1_,post_Page_Type_ev3_,post_Finding_method__ev61_,post_LockIn_User_State_ev99_,post_page_event,post_visid_type,ref_type,resolution,search_page_num,va_closer_id,va_finder_id,visit_ref_type_
Microsoft Edge 17,24,JS-1.5.1,Mobile Carrier,France,Other Web Sites,sanad****,fra,250042,az****,431002****,1,1.6,b'French (France)',0,0,Windows 10,0,Y,View Cart,View Cart,Cart,Direct,NON_LOGGED_IN,0,5,6,399,0,16,16,3
Google Chrome 70,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,paris,fra,250075,idf,75001,1,1.6,b'English (United States)',0,0,Linux,0,Y,Gourmet****,Gourmet****,FLIPKART:Product Page,Browse,NON_LOGGED_IN,0,5,6,215,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,ernakulam,ind,0,kl,686011****,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Television:JVC 109cm **,Television,FLIPKART:Product Page,Direct,ACTIVE,0,5,6,218,0,2,2,6
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Typed/Bookmarked,ealing****,ind,356003,wb,742160****,1,1.6,b'English (United States)',8,0,Windows 7,0,Y,COIN_ACTIVITY****,Book,FLIPKART:Product Page,AS_QueryStore_HistoryAutoSuggest_0_0**,ACTIVE,0,5,6,185,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,delhi,ind,356001,dl,110021**,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Read Review**,PersonalAudio,Read Review,Direct,INACTIVE,0,5,6,185,0,16,2,3
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Typed/Bookmarked,morbi****,ind,356010,up,28001****,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,SmallFurniture**,SmallFurniture**,FLIPKART:Product Page,OMU,NON_LOGGED_IN,0,5,6,185,0,9,2,6
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Typed/Bookmarked,ealing****,ind,356003,wb,711413****,1,1.6,b'English (United States)',1,0,Windows 7,0,Y,ExerciseAndFitness****,ExerciseAndFitness****,FLIPKART:Product Page,Direct,NON_LOGGED_IN,0,5,6,185,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Other Web Sites,mumbai,ind,356002,mh,400701****,1,1.6,b'English (United States)',1,0,Windows 7,0,Y,MenFW,MenFW,FLIPKART:Product Page,AS_QueryStore_HistoryAutoSuggest_0_0**,NON_LOGGED_IN,0,5,6,13,0,16,16,3
Safari**,24,JS-1.5.1,Mobile Carrier,India,Inside Your Site,kokrajhar****,ind,0,or,752115****,1,1.6,b'English (United States)',0,0,OS X 10.13,0,Y,View Cart,View Cart,Cart,Menu,NON_LOGGED_IN,0,5,6,71,0,16,3,3
Chrome 38**,24,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Other Web Sites,pune,ind,356005,mh,411001**,1,1.6,language_NA,0,12532881,Android 5.0.1,0,Y,HomePage,HomePage,Homepage,Direct,NON_LOGGED_IN,0,5,1,199,0,2,16,6
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,India,Typed/Bookmarked,mumbai,ind,356002,mh,400010****,1,1.6,b'English (United Kingdom)',9,0,OS X 10.14,0,Y,Store :All**,LargeFurniture,Store Browse,Browse,ACTIVE,0,5,6,388,0,2,2,6
UC Browser,24,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Other Web Sites,thanjavur****,ind,0,jk**,201012****,1,1.6,b'English (United States)',0,0,Windows 7,0,Y,Store ,GameCDDVD****,Store Browse,post_Finding method (ev61)_NA,NON_LOGGED_IN,0,5,3,71,1,16,16,3
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Other Web Sites,kannur****,ind,356007,tn,603102****,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Checkout,Checkout:Address**,Checkout,Browse,INACTIVE,0,5,6,185,0,16,12,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,hyderabad,ind,356006,tg,500025,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,ComputerAccessory****,ComputerAccessory,FLIPKART:Product Page,Search,ACTIVE,0,5,6,70,0,12,2,3
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,delhi,ind,356001,dl,11001**,1,1.6,b'English (United Kingdom)',0,0,Windows 10,0,Y,WomenFW**,WomenFW,FLIPKART:Product Page,AS_QueryStore_HistoryAutoSuggest_0_0**,INACTIVE,0,5,6,185,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,Network (mostly U.S.),Typed/Bookmarked,calcutta,ind,356003,wb,700022****,1,1.6,b'English (United States)',0,0,Windows 8.1,0,Y,Store :Clothing,MensClothingTopWear,Store Browse,Search,INACTIVE,0,5,6,186,0,2,2,6
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,India,Other Web Sites,bangalore,ind,356004,ka,560004,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Search ,BabyCareOthers****,Search Page,Search,NON_LOGGED_IN,0,5,6,70,0,16,16,3
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,hyderabad,ind,356006,tg,500025,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Search :Audio & Video**,HomeFurnishing**,Search Page,post_Finding method (ev61)_NA,INACTIVE,0,5,6,70,0,12,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Other Web Sites,noida****,ind,356001,up,203001****,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,HomePage,HomePage,FLIPKART:HomePage,Direct,INACTIVE,0,5,6,185,0,5,5,2
